'may 20 2034', '2034-05-20'
'jun 9 1556', '1556-06-09'
'november 13 1553', '1553-11-13'
'june 7 1798', '1798-06-07'
'1844 13 april', '1844-04-13'
'jul 7 1649', '1649-07-07'
'wednesday june 17 1615', '1615-06-17'
'monday november 15 2021', '2021-11-15'
'19 august 1786', '1786-08-19'
'wednesday 1885 21 01', '1885-01-21'
'oct 14 1969', '1969-10-14'
'october 4 1749', '1749-10-04'
'january 29 1544', '1544-01-29'
'29/08/2069', '2069-08-29'
'may 27 1700', '1700-05-27'
'6 october 1857', '1857-10-06'
'25 may 1560', '1560-05-25'
'wednesday november 17 2027', '2027-11-17'
'12 september 1690', '1690-09-12'
'thursday june 12 1749', '1749-06-12'
'wed 10 nov 1649', '1649-11-10'
'oct 28 1926', '1926-10-28'
'8 jan 1931', '1931-01-08'
'june 14 1938', '1938-06-14'
'10/14/13', '1713-10-14'
'24/12/1527', '1527-12-24'
'august 27 1667', '1667-08-27'
'9/15/88', '1588-09-15'
'9 july 2057', '2057-07-09'
'13/01/1937', '1937-01-13'
'january 17 1530', '1530-01-17'
'august 16 1985', '1985-08-16'
'1790 14 march', '1790-03-14'
'21 september 1712', '1712-09-21'
'april 10 1730', '1730-04-10'
'wednesday 22 july 1536', '1536-07-22'
'may 9 1783', '1783-05-09'
'tuesday april 15 1603', '1603-04-15'
'friday july 15 1932', '1932-07-15'
'5 july 1867', '1867-07-05'
'20 may 1996', '1996-05-20'
'tuesday january 15 1743', '1743-01-15'
'friday 14 august 1620', '1620-08-14'
'9/15/73', '1673-09-15'
'august 4 1972', '1972-08-04'
'10 march 1899', '1899-03-10'
'sep 10 2041', '2041-09-10'
'18 july 1700', '1700-07-18'
'4/29/41', '1941-04-29'
'jun 18 1827', '1827-06-18'
'13 july 1938', '1938-07-13'
'april 25 1753', '1753-04-25'
'apr 10 1535', '1535-04-10'
'nov 22 1972', '1972-11-22'
'7/18/97', '1597-07-18'
'10 january 1916', '1916-01-10'
'tuesday may 12 1761', '1761-05-12'
'january 30 1600', '1600-01-30'
'february 22 1718', '1718-02-22'
'october 21 1651', '1651-10-21'
'11 december 1620', '1620-12-11'
'wednesday august 6 2025', '2025-08-06'
'friday april 18 1558', '1558-04-18'
'october 17 1811', '1811-10-17'
'fri 1803 14 january', '1803-01-14'
'1681 4 jan', '1681-01-04'
'nov 27 1965', '1965-11-27'
'20 january 1886', '1886-01-20'
'september 20 1560', '1560-09-20'
'9/12/97', '1597-09-12'
'fri 7 aug 1525', '1525-08-07'
'10/10/1978', '1978-10-10'
'wednesday february 1 1911', '1911-02-01'
'february 25 1605', '1605-02-25'
'may 3 1716', '1716-05-03'
'friday april 15 1707', '1707-04-15'
'january 11 1839', '1839-01-11'
'1659 27 aug', '1659-08-27'
'wednesday 1770 4 07', '1770-07-04'
'1807 13 jan', '1807-01-13'
'july 8 1754', '1754-07-08'
'november 25 2057', '2057-11-25'
'3 may 2038', '2038-05-03'
'sun 1810 25 february', '1810-02-25'
'27 apr 1973', '1973-04-27'
'june 29 1782', '1782-06-29'
'jan 19 1717', '1717-01-19'
'9 december 1581', '1581-12-09'
'23 may 1785', '1785-05-23'
'2002 27 august', '2002-08-27'
'20 february 2062', '2062-02-20'
'24 december 1602', '1602-12-24'
'21 january 1672', '1672-01-21'
'thursday january 29 1665', '1665-01-29'
'sunday december 20 1654', '1654-12-20'
'jun 28 1736', '1736-06-28'
'january 29 1914', '1914-01-29'
'13 aug 1983', '1983-08-13'
'april 22 1687', '1687-04-22'
'1821 11 jun', '1821-06-11'
'december 10 1826', '1826-12-10'
'friday july 10 1637', '1637-07-10'
'april 19 2014', '2014-04-19'
'15 august 1848', '1848-08-15'
'6/6/77', '1677-06-06'
'feb 26 1771', '1771-02-26'
'thu 14 nov 1996', '1996-11-14'
'friday december 31 1526', '1526-12-31'
'30 mar 1953', '1953-03-30'
'september 29 1891', '1891-09-29'
'april 9 1974', '1974-04-09'
'10 february 2023', '2023-02-10'
'thursday august 31 1606', '1606-08-31'
'saturday november 22 1766', '1766-11-22'
'tuesday march 27 1523', '1523-03-27'
'25/10/1574', '1574-10-25'
'12 december 2069', '2069-12-12'
'jun 26 1984', '1984-06-26'
'january 26 1613', '1613-01-26'
'4 january 1731', '1731-01-04'
'november 13 2038', '2038-11-13'
'23 august 1602', '1602-08-23'
'13 january 1729', '1729-01-13'
'sep 27 1832', '1832-09-27'
'10 june 1532', '1532-06-10'
'28 may 2027', '2027-05-28'
'april 28 1648', '1648-04-28'
'1755 3 june', '1755-06-03'
'august 31 1531', '1531-08-31'
'25 may 1624', '1624-05-25'
'20 april 1924', '1924-04-20'
'3 march 1916', '1916-03-03'
'wed 30 jul 1958', '1958-07-30'
'7 march 1592', '1592-03-07'
'wednesday october 28 1643', '1643-10-28'
'wednesday august 9 1826', '1826-08-09'
'march 14 2004', '2004-03-14'
'9 april 1983', '1983-04-09'
'mon 1780 22 may', '1780-05-22'
'july 26 1877', '1877-07-26'
'september 9 1846', '1846-09-09'
'nov 12 1708', '1708-11-12'
'sunday july 20 1642', '1642-07-20'
'jan 6 1823', '1823-01-06'
'sunday july 16 1606', '1606-07-16'
'aug 24 1544', '1544-08-24'
'4/16/16', '2016-04-16'
'apr 13 1762', '1762-04-13'
'monday 2029 2 04', '2029-04-02'
'september 11 1714', '1714-09-11'
'1988 24 jan', '1988-01-24'
'feb 4 1781', '1781-02-04'
'sunday april 25 1971', '1971-04-25'
'27 january 1560', '1560-01-27'
'thursday august 13 1925', '1925-08-13'
'aug 26 1955', '1955-08-26'
'9 february 1662', '1662-02-09'
'wednesday october 18 1809', '1809-10-18'
'1955 12 mar', '1955-03-12'
'18 december 1819', '1819-12-18'
'october 10 1602', '1602-10-10'
'january 2 1888', '1888-01-02'
'sunday january 24 1621', '1621-01-24'
'dec 6 1723', '1723-12-06'
'2/20/52', '1652-02-20'
'21 april 1701', '1701-04-21'
'fri 2045 24 november', '2045-11-24'
'22 december 2017', '2017-12-22'
'july 31 1535', '1535-07-31'
'sun 7 mar 1543', '1543-03-07'
'september 13 1806', '1806-09-13'
'september 30 1814', '1814-09-30'
'may 4 2033', '2033-05-04'
'1894 7 apr', '1894-04-07'
'friday may 8 1767', '1767-05-08'
'tuesday february 16 1808', '1808-02-16'
'25 september 1666', '1666-09-25'
'february 27 1822', '1822-02-27'
'3 december 1708', '1708-12-03'
'may 13 1669', '1669-05-13'
'february 18 2004', '2004-02-18'
'03/12/1572', '1572-12-03'
'1708 2 december', '1708-12-02'
'december 1 1614', '1614-12-01'
'9 august 1997', '1997-08-09'
'mon 2 feb 1925', '1925-02-02'
'friday 1939 29 12', '1939-12-29'
'monday february 19 1562', '1562-02-19'
'24 april 1758', '1758-04-24'
'23 jan 1919', '1919-01-23'
'december 19 1709', '1709-12-19'
'mar 30 1629', '1629-03-30'
'mar 18 1600', '1600-03-18'
'saturday june 13 1970', '1970-06-13'
'10 apr 1637', '1637-04-10'
'november 1 2000', '2000-11-01'
'sun 26 oct 1664', '1664-10-26'
'jun 8 1826', '1826-06-08'
'12/12/1667', '1667-12-12'
'1 march 1995', '1995-03-01'
'december 22 1791', '1791-12-22'
'1/25/85', '1785-01-25'
'8/31/42', '1942-08-31'
'may 20 1706', '1706-05-20'
'march 17 1632', '1632-03-17'
'15 march 1762', '1762-03-15'
'1524 4 feb', '1524-02-04'
'wednesday march 11 1592', '1592-03-11'
'1687 17 sep', '1687-09-17'
'february 7 1582', '1582-02-07'
'5 september 2023', '2023-09-05'
'1590 22 december', '1590-12-22'
'mar 4 1665', '1665-03-04'
'13 november 1662', '1662-11-13'
'may 29 1933', '1933-05-29'
'july 17 2042', '2042-07-17'
'may 19 1573', '1573-05-19'
'20 november 1760', '1760-11-20'
'6/10/15', '1915-06-10'
'march 28 1814', '1814-03-28'
'30 mar 1764', '1764-03-30'
'saturday february 28 1654', '1654-02-28'
'1929 17 may', '1929-05-17'
'aug 29 1959', '1959-08-29'
'26 april 1715', '1715-04-26'
'sunday october 31 1694', '1694-10-31'
'january 4 1858', '1858-01-04'
'november 8 1560', '1560-11-08'
'friday february 24 1584', '1584-02-24'
'sep 27 1573', '1573-09-27'
'apr 20 2052', '2052-04-20'
'6/16/78', '1778-06-16'
'24 november 2042', '2042-11-24'
'29 october 1924', '1924-10-29'
'sep 5 2011', '2011-09-05'
'21 september 1948', '1948-09-21'
'1554 21 january', '1554-01-21'
'21 april 1919', '1919-04-21'
'3 february 1526', '1526-02-03'
'tuesday april 1 1580', '1580-04-01'
'1694 4 april', '1694-04-04'
'october 27 1844', '1844-10-27'
'june 19 1763', '1763-06-19'
'oct 1 1814', '1814-10-01'
'monday april 28 1806', '1806-04-28'
'dec 19 1536', '1536-12-19'
'sep 30 2017', '2017-09-30'
'06/02/1845', '1845-02-06'
'may 3 2009', '2009-05-03'
'thursday may 12 1735', '1735-05-12'
'august 30 1557', '1557-08-30'
'january 31 1596', '1596-01-31'
'19/09/2029', '2029-09-19'
'22 february 1676', '1676-02-22'
'thursday november 30 1617', '1617-11-30'
'1522 20 dec', '1522-12-20'
'30 november 1762', '1762-11-30'
'thursday december 20 1714', '1714-12-20'
'1/19/41', '1741-01-19'
'december 24 1901', '1901-12-24'
'1 february 1726', '1726-02-01'
'6 march 2069', '2069-03-06'
'9 september 1970', '1970-09-09'
'february 9 1583', '1583-02-09'
'dec 28 1610', '1610-12-28'
'mar 17 1866', '1866-03-17'
'sun 1 jun 2059', '2059-06-01'
'wednesday august 20 2064', '2064-08-20'
'tue 7 dec 1582', '1582-12-07'
'28 feb 1758', '1758-02-28'
'8 october 1574', '1574-10-08'
'25 february 1869', '1869-02-25'
'jan 31 2043', '2043-01-31'
'monday 13 december 1948', '1948-12-13'
'17 august 1569', '1569-08-17'
'fri 17 feb 1589', '1589-02-17'
'aug 23 1583', '1583-08-23'
'29 october 1533', '1533-10-29'
'aug 20 1813', '1813-08-20'
'september 30 1925', '1925-09-30'
'september 12 1967', '1967-09-12'
'aug 15 1764', '1764-08-15'
'25 september 1622', '1622-09-25'
'sat 26 sep 1829', '1829-09-26'
'september 17 1634', '1634-09-17'
'monday 24 march 1879', '1879-03-24'
'8 november 1710', '1710-11-08'
'9/28/94', '1894-09-28'
'monday march 30 1598', '1598-03-30'
'thursday june 25 1931', '1931-06-25'
'sunday april 10 1527', '1527-04-10'
'23 april 2010', '2010-04-23'
'2/25/46', '1946-02-25'
'14 may 2013', '2013-05-14'
'29 june 1534', '1534-06-29'
'16 september 1856', '1856-09-16'
'november 19 1908', '1908-11-19'
'28 july 1946', '1946-07-28'
'oct 1 1896', '1896-10-01'
'15 may 1965', '1965-05-15'
'17 sep 1834', '1834-09-17'
'april 4 1897', '1897-04-04'
'december 3 2052', '2052-12-03'
'july 11 1993', '1993-07-11'
'november 28 1829', '1829-11-28'
'february 6 1958', '1958-02-06'
'wed 1669 18 december', '1669-12-18'
'thu 14 jan 1988', '1988-01-14'
'sep 19 2018', '2018-09-19'
'2 october 1681', '1681-10-02'
'wednesday 1724 25 10', '1724-10-25'
'fri 1872 2 february', '1872-02-02'
'january 1 1646', '1646-01-01'
'nov 28 1949', '1949-11-28'
'23 jun 1780', '1780-06-23'
'july 16 1733', '1733-07-16'
'feb 11 1748', '1748-02-11'
'10/22/00', '1900-10-22'
'02/11/1907', '1907-11-02'
'20 aug 1672', '1672-08-20'
'friday 1965 11 06', '1965-06-11'
'3/7/66', '1966-03-07'
'sun 1609 18 january', '1609-01-18'
'august 23 1626', '1626-08-23'
'aug 25 1567', '1567-08-25'
'february 1 1880', '1880-02-01'
'march 28 1737', '1737-03-28'
'mar 30 1710', '1710-03-30'
'8/31/80', '1880-08-31'
'4 may 1557', '1557-05-04'
'saturday february 14 1807', '1807-02-14'
'31 october 1802', '1802-10-31'
'8/18/91', '1891-08-18'
'12 july 2048', '2048-07-12'
'sun 1530 25 may', '1530-05-25'
'tue 20 nov 1562', '1562-11-20'
'19 may 1546', '1546-05-19'
'tuesday april 5 1650', '1650-04-05'
'1999 31 jan', '1999-01-31'
'6 may 1944', '1944-05-06'
'july 1 1578', '1578-07-01'
'dec 13 1960', '1960-12-13'
'sep 9 1863', '1863-09-09'
'january 26 1921', '1921-01-26'
'10 aug 1650', '1650-08-10'
'monday 1993 9 08', '1993-08-09'
'sat 1671 12 december', '1671-12-12'
'aug 1 1762', '1762-08-01'
'1 january 1594', '1595-01-01'
'1/12/04', '2004-01-12'
'wednesday 27 may 1581', '1581-05-27'
'wednesday february 9 1831', '1831-02-09'
'february 23 2005', '2005-02-23'
'4 february 1580', '1580-02-04'
'december 8 1782', '1782-12-08'
'mar 25 1744', '1744-03-25'
'1783 1 jan', '1783-01-01'
'10/11/1593', '1593-11-10'
'mon 1813 18 january', '1813-01-18'
'june 27 1857', '1857-06-27'
'thursday february 20 1862', '1862-02-20'
'18 august 1696', '1696-08-18'
'january 15 1965', '1965-01-15'
'wednesday march 16 1994', '1994-03-16'
'mar 7 1604', '1604-03-07'
'oct 4 1957', '1957-10-04'
'19 feb 1944', '1944-02-19'
'21 september 1793', '1793-09-21'
'11 february 1676', '1676-02-11'
'thursday october 26 1854', '1854-10-26'
'tuesday july 1 2014', '2014-07-01'
'sun 2025 6 april', '2025-04-06'
'may 21 1808', '1808-05-21'
'aug 9 1674', '1674-08-09'
'11/11/1625', '1625-11-11'
'monday 13 september 2010', '2010-09-13'
'1567 16 apr', '1567-04-16'
'2 jun 1913', '1913-06-02'
'march 27 1851', '1851-03-27'
'1850 1 jul', '1850-07-01'
'july 9 1811', '1811-07-09'
'sunday 1747 12 02', '1747-02-12'
'1620 24 dec', '1620-12-24'
'april 23 1930', '1930-04-23'
'24 may 1786', '1786-05-24'
'2046 8 april', '2046-04-08'
'1884 27 jan', '1884-01-27'
'feb 20 2022', '2022-02-20'
'saturday 1862 25 10', '1862-10-25'
'mar 14 1630', '1630-03-14'
'jun 7 2066', '2066-06-07'
'10/18/37', '2037-10-18'
'saturday 3 march 2035', '2035-03-03'
'30 december 1908', '1907-12-30'
'november 2 1663', '1663-11-02'
'thursday september 15 1594', '1594-09-15'
'1685 13 jul', '1685-07-13'
'28 july 1790', '1790-07-28'
'sun 4 jan 2043', '2043-01-04'
'june 18 1610', '1610-06-18'
'21 july 1982', '1982-07-21'
'friday 1659 2 05', '1659-05-02'
'may 2 1747', '1747-05-02'
'december 27 1600', '1600-12-27'
'mon 1862 18 august', '1862-08-18'
'8/31/99', '1699-08-31'
'8 december 1621', '1621-12-08'
'april 9 1636', '1636-04-09'
'march 27 1950', '1950-03-27'
'26/11/1937', '1937-11-26'
'6 december 1659', '1659-12-06'
'march 25 1762', '1762-03-25'
'sunday june 5 1672', '1672-06-05'
'11 jun 2039', '2039-06-11'
'december 7 1858', '1858-12-07'
'november 15 1592', '1592-11-15'
'saturday 2015 10 01', '2015-01-10'
'december 26 1741', '1741-12-26'
'july 20 2050', '2050-07-20'
'25 march 1704', '1704-03-25'
'thursday 6 february 1670', '1670-02-06'
'february 19 1960', '1960-02-19'
'23 april 1522', '1522-04-23'
'sat 1580 15 march', '1580-03-15'
'16 oct 1698', '1698-10-16'
'january 28 1983', '1983-01-28'
'august 14 1651', '1651-08-14'
'november 27 2051', '2051-11-27'
'oct 7 1751', '1751-10-07'
'tuesday july 1 1687', '1687-07-01'
'06/05/1719', '1719-05-06'
'thu 1797 24 august', '1797-08-24'
'jun 11 1762', '1762-06-11'
'1887 5 january', '1887-01-05'
'sep 1 1625', '1625-09-01'
'20 june 1776', '1776-06-20'
'28/12/2054', '2054-12-28'
'dec 3 1683', '1683-12-03'
'july 29 1626', '1626-07-29'
'28 april 1772', '1772-04-28'
'aug 3 2012', '2012-08-03'
'february 27 1697', '1697-02-27'
'mar 16 2067', '2067-03-16'
'jan 6 2005', '2005-01-06'
'12 jan 1941', '1941-01-12'
'fri 15 jul 1814', '1814-07-15'
'tuesday december 21 1875', '1875-12-21'
'jan 28 1859', '1859-01-28'
'saturday february 8 1919', '1919-02-08'
'31 march 2003', '2003-03-31'
'monday 1953 25 05', '1953-05-25'
'4 november 1633', '1633-11-04'
'friday 1961 2 06', '1961-06-02'
'december 18 1561', '1561-12-18'
'apr 1 2003', '2003-04-01'
'october 2 1551', '1551-10-02'
'december 18 1874', '1874-12-18'
'1534 12 september', '1534-09-12'
'6/14/93', '1893-06-14'
'25 may 1713', '1713-05-25'
'september 16 1837', '1837-09-16'
'nov 7 1627', '1627-11-07'
'jun 19 1608', '1608-06-19'
'sunday 1935 15 09', '1935-09-15'
'11 november 1721', '1721-11-11'
'may 13 1854', '1854-05-13'
'sep 27 1950', '1950-09-27'
'1563 17 january', '1563-01-17'
'22 november 2056', '2056-11-22'
'19/11/1969', '1969-11-19'
'wednesday january 7 1671', '1671-01-07'
'oct 15 2058', '2058-10-15'
'saturday july 6 1822', '1822-07-06'
'28 august 1614', '1614-08-28'
'21 november 1856', '1856-11-21'
'jul 10 2047', '2047-07-10'
'july 7 1566', '1566-07-07'
'dec 9 1832', '1832-12-09'
'feb 22 1966', '1966-02-22'
'november 5 1590', '1590-11-05'
'august 11 1991', '1991-08-11'
'friday may 12 1747', '1747-05-12'
'november 19 1579', '1579-11-19'
'14 october 1539', '1539-10-14'
'friday october 28 1853', '1853-10-28'
'tue 25 jun 1641', '1641-06-25'
'november 15 1979', '1979-11-15'
'friday 1602 22 03', '1602-03-22'
'sunday 23 september 1545', '1545-09-23'
'1718 26 august', '1718-08-26'
'thursday december 14 1893', '1893-12-14'
'january 23 1645', '1645-01-23'
'23 february 1805', '1805-02-23'
'tuesday 6 may 1879', '1879-05-06'
'november 21 1968', '1968-11-21'
'wednesday april 26 1747', '1747-04-26'
'monday october 29 1934', '1934-10-29'
'march 15 1856', '1856-03-15'
'april 26 2046', '2046-04-26'
'wednesday september 21 2044', '2044-09-21'
'june 20 2014', '2014-06-20'
'monday march 16 1637', '1637-03-16'
'tue 17 mar 1818', '1818-03-17'
'dec 3 1606', '1606-12-03'
'wednesday april 25 1945', '1945-04-25'
'jul 21 1914', '1914-07-21'
'26 sep 1900', '1900-09-26'
'28 october 1649', '1649-10-28'
'1983 10 april', '1983-04-10'
'monday october 15 2046', '2046-10-15'
'4 october 1929', '1929-10-04'
'sep 5 1675', '1675-09-05'
'may 11 1856', '1856-05-11'
'october 13 1695', '1695-10-13'
'november 21 1577', '1577-11-21'
'october 10 1848', '1848-10-10'
'september 18 1692', '1692-09-18'
'april 8 1742', '1742-04-08'
'september 20 1583', '1583-09-20'
'feb 21 1969', '1969-02-21'
'october 16 1662', '1662-10-16'
'thursday may 4 1769', '1769-05-04'
'9 november 2019', '2019-11-09'
'may 25 1590', '1590-05-25'
'june 23 1644', '1644-06-23'
'july 26 1563', '1563-07-26'
'mar 1 1840', '1840-03-01'
'april 30 1877', '1877-04-30'
'thu 31 dec 1648', '1648-12-31'
'february 22 1664', '1664-02-22'
'nov 5 1589', '1589-11-05'
'1967 16 may', '1967-05-16'
'july 23 1729', '1729-07-23'
'september 4 1928', '1928-09-04'
'27 apr 1901', '1901-04-27'
'23 february 1824', '1824-02-23'
'tuesday december 6 1583', '1583-12-06'
'december 21 1547', '1547-12-21'
'sat 1564 18 april', '1564-04-18'
'22 october 1907', '1907-10-22'
'aug 2 1900', '1900-08-02'
'sunday 1964 15 11', '1964-11-15'
'october 22 1830', '1830-10-22'
'1/27/39', '1939-01-27'
'november 2 1681', '1681-11-02'
